,Brand,model,description,rating,no_of_reviews,price,category
0,Oneplus,Oneplus Nord CE4 ,"Celadon Marble, 8GB RAM, 128GB Storage)",0,0,"24,999",mobile
1,Redmi,Redmi 13C ,"Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",4.1,"2,939  ","8,699",mobile
2,realme,realme narzo N53 ,"Feather Gold, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",4.0,"15,472  ","7,499",mobile
3,realme,realme narzo N53 ,"Feather Black, 4GB+64GB) 33W Segment Fastest Charging | Slim Smartphone | 90 Hz Smooth Display",4.0,"15,472  ","8,999",mobile
4,Oneplus,Oneplus Nord CE4 ,"Dark Chrome, 8GB RAM, 256GB Storage)",0,0,"26,999",mobile
5,realme,realme narzo N53 ,"Feather Gold, 8GB+128GB) 33W Segment Fastest Charging | Slimmest Phone in Segment | 90 Hz Smooth Display",4.0,"15,472  ","8,999",mobile
6,Redmi,Redmi 13C ,"Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",4.1,"2,939  ","7,699",mobile
7,OnePlus,OnePlus Nord CE 3 Lite 5G ,"Chromatic Gray, 8GB RAM, 256GB Storage)",4.2,"48,442  ","19,999",mobile
8,Redmi,Redmi 13C ,"Stardust Black, 4GB RAM, 128GB Storage) | Powered by 4G Mediatek Helio G85 | 90Hz Display | 50MP AI Triple Camera",4.1,"2,939  ","7,699",mobile
9,Redmi,Redmi 12 5G Jade Black 6GB RAM 128GB ROM,,4.0,"15,942  ","12,999",mobile
10,realme,realme narzo 60X 5G ,"Stellar Green,6GB,128GB Storage) Up to 2TB External Memory | 50 MP AI Primary Camera | Segments only 33W Supervooc Charge",4.1,"10,353  ","12,499",mobile
11,Redmi,Redmi 13C ,"Starfrost White, 8GB RAM, 256GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",4.1,"2,939  ","10,999",mobile
12,Vivo,"Vivo V30 5G Smartphone, 8GB RAM 128GB Storage, Peacock Green",,5.0,1  ,"30,930",mobile
13,Redmi,Redmi 13C 5G ,"Startrail Green, 4GB RAM, 128GB Storage) | MediaTek Dimensity 6100+ 5G | 90Hz Display",4.0,"2,897  ","10,999",mobile
14,Vivo,Vivo T2x 5G ,"Marine Blue, 128 GB)  6 GB RAM)",4.2,471  ,"12,999",mobile
